iter	Logloss
0	0.587811602
1	0.4942187447
2	0.435079481
3	0.4072108796
4	0.3617366155
5	0.3273741973
6	0.3038950128
7	0.2855064496
8	0.2712907703
9	0.2610843217
10	0.2528746101
11	0.2464726203
12	0.2412274037
13	0.23748366
14	0.2341914817
15	0.2318059985
16	0.2295975821
17	0.2278678815
18	0.2264546771
19	0.2248074984
20	0.2236079813
21	0.2226004005
22	0.2218434233
23	0.2210651071
24	0.2203191324
25	0.2197524134
26	0.2191964656
27	0.2185165758
28	0.2181570366
29	0.2177913821
30	0.2174682037
31	0.2171371662
32	0.2168710437
33	0.2166842259
34	0.216496588
35	0.2162354072
36	0.2160689198
37	0.2158502655
38	0.2156686118
39	0.2154672853
40	0.2152863107
41	0.2151913531
42	0.2150784803
43	0.214940179
44	0.2148093054
45	0.2146830943
46	0.2146157508
47	0.2144751036
48	0.2143563368
49	0.2142675138
50	0.2141957061
51	0.2140553958
52	0.2139867571
53	0.2138965355
54	0.2138225634
55	0.2137464711
56	0.2136908421
57	0.213629877
58	0.2135902392
59	0.2135574163
60	0.213512529
61	0.2134755306
62	0.2134403439
63	0.2133685402
64	0.2133117568
65	0.2132782152
66	0.2132468575
67	0.2131955435
68	0.2131724816
69	0.2131262009
70	0.2130775339
71	0.2130533658
72	0.2130076497
73	0.2129815899
74	0.2129238259
75	0.2128895657
76	0.2128616436
77	0.2127960271
78	0.2127407261
79	0.2127118588
80	0.2126702827
81	0.2126536513
82	0.2126358801
83	0.2126115062
84	0.2125860144
85	0.2125560321
86	0.2125257235
87	0.2124855238
88	0.2124731983
89	0.2124427387
90	0.2124229322
91	0.2123824654
92	0.2123589276
93	0.2123351598
94	0.2123068672
95	0.2122858046
96	0.212264565
97	0.2122386415
98	0.2122185872
99	0.2121889547
100	0.2121712592
101	0.2121543322
102	0.2121396464
103	0.2121233403
104	0.2121053918
105	0.2120894587
106	0.2120531168
107	0.2120308586
108	0.212010453
109	0.211984131
110	0.2119568921
111	0.2119400242
112	0.2119248396
113	0.2119103409
114	0.2118969845
115	0.2118809919
116	0.2118666694
117	0.2118527122
118	0.2118310864
119	0.2118155969
120	0.2117867264
121	0.2117742287
122	0.2117584368
123	0.2117329999
124	0.2117163413
125	0.2117006285
126	0.2116822285
127	0.2116664761
128	0.2116431121
129	0.2116326308
130	0.2116123391
131	0.2115909637
132	0.2115705644
133	0.2115492922
134	0.2115303515
135	0.2115109531
136	0.2114954004
137	0.2114775066
138	0.2114442716
139	0.2114328339
140	0.2114177715
141	0.2113999529
142	0.2113837342
143	0.211377614
144	0.2113633456
145	0.2113449684
146	0.2113341187
147	0.2113132918
148	0.2113013004
149	0.2112892085
150	0.2112756564
151	0.2112528926
152	0.2112396704
153	0.2112266908
154	0.2112184341
155	0.2112054262
156	0.2111904139
157	0.2111780471
158	0.2111670183
159	0.2111547938
160	0.211140884
161	0.2111228772
162	0.2111098559
163	0.2110942752
164	0.2110842679
165	0.2110652485
166	0.2110461398
167	0.2110346263
168	0.2110225113
169	0.2110060545
170	0.2109985492
171	0.2109825395
172	0.2109729621
173	0.2109569101
174	0.2109467898
175	0.2109297946
176	0.2109161831
177	0.2108988417
178	0.2108917646
179	0.2108677981
180	0.210851742
181	0.2108340206
182	0.2108216942
183	0.2108016672
184	0.2107877842
185	0.2107634935
186	0.2107557452
187	0.2107447641
188	0.2107341936
189	0.2107209272
190	0.2107121208
191	0.2106976515
192	0.2106854534
193	0.2106701188
194	0.2106567512
195	0.2106474741
196	0.2106330956
197	0.2106213756
198	0.2106097956
199	0.2105974012
200	0.2105852838
201	0.2105714789
202	0.2105557865
203	0.2105416787
204	0.2105343157
205	0.2105206543
206	0.2105100068
207	0.2104947165
208	0.2104880874
209	0.2104663286
210	0.2104517324
211	0.2104374114
212	0.2104193998
213	0.2104087838
214	0.210393677
215	0.2103795288
216	0.2103674447
217	0.2103512007
218	0.2103341602
219	0.2103248381
220	0.2103076196
221	0.210302234
222	0.210289484
223	0.2102742178
224	0.2102636101
225	0.2102500415
226	0.2102369044
227	0.2102265393
228	0.2102115504
229	0.2101926513
230	0.2101820079
231	0.2101685883
232	0.210156341
233	0.2101485421
234	0.2101315838
235	0.2101196297
236	0.2101106263
237	0.2100987048
238	0.2100834412
239	0.2100732585
240	0.2100596391
241	0.2100511804
242	0.2100403722
243	0.210023661
244	0.2100128085
245	0.2100052341
246	0.209994317
247	0.2099854484
248	0.2099703358
249	0.2099571719
250	0.2099511155
251	0.2099368911
252	0.2099295967
253	0.209920764
254	0.2099122065
255	0.2099026576
256	0.2098909316
257	0.2098784621
258	0.2098603322
259	0.2098538695
260	0.2098366131
261	0.2098272473
262	0.2098135516
263	0.2098061767
264	0.2097981018
265	0.2097907542
266	0.2097797034
267	0.2097622939
268	0.2097480861
269	0.2097337902
270	0.2097272785
271	0.2097227433
272	0.2097133128
273	0.209706884
274	0.2096847474
275	0.2096709885
276	0.2096668477
277	0.2096556387
278	0.2096462033
279	0.2096351996
280	0.2096224193
281	0.2096088385
282	0.2096007383
283	0.2095940856
284	0.2095790898
285	0.2095699035
286	0.2095599544
287	0.209549798
288	0.2095380445
289	0.209521815
290	0.2095074899
291	0.2094923776
292	0.209485735
293	0.2094785676
294	0.2094688995
295	0.2094551486
296	0.2094388401
297	0.2094282903
298	0.2094191672
299	0.2094020989
300	0.2093916152
301	0.2093833443
302	0.2093724268
303	0.2093602161
304	0.2093477837
305	0.2093309615
306	0.2093189723
307	0.209311841
308	0.2092969176
309	0.2092865881
310	0.2092742293
311	0.2092633424
312	0.2092573585
313	0.2092428809
314	0.2092286751
315	0.209217102
316	0.2092026602
317	0.2091919745
318	0.2091846724
319	0.2091683177
320	0.2091565254
321	0.2091433387
322	0.2091313033
323	0.2091248256
324	0.2091194935
325	0.2091049077
326	0.2090930747
327	0.2090866968
328	0.2090801405
329	0.2090672627
330	0.2090591028
331	0.2090469505
332	0.2090360025
333	0.2090272611
334	0.2090228115
335	0.2090078591
336	0.2089924669
337	0.2089877099
338	0.20897501
339	0.208965136
340	0.2089521555
341	0.2089408146
342	0.2089320961
343	0.2089208003
344	0.2089126667
345	0.2088994905
346	0.2088891273
347	0.2088813985
348	0.2088691806
349	0.2088604653
350	0.2088474838
351	0.208840051
352	0.2088293578
353	0.2088222811
354	0.2088153621
355	0.2088047449
356	0.2087946691
357	0.2087862284
358	0.2087736264
359	0.2087600805
360	0.2087546649
361	0.2087443179
362	0.2087355965
363	0.2087243549
364	0.2087206369
365	0.2087139472
366	0.2087086214
367	0.2086995481
368	0.2086895029
369	0.2086765196
370	0.2086650004
371	0.208653287
372	0.2086445698
373	0.2086388626
374	0.2086231921
375	0.2086141656
376	0.2086094831
377	0.2085993567
378	0.2085907703
379	0.2085790561
380	0.2085686523
381	0.2085584809
382	0.2085556697
383	0.2085502635
384	0.2085362532
385	0.2085244522
386	0.2085108029
387	0.2084913159
388	0.2084867293
389	0.2084760821
390	0.2084677786
391	0.2084585788
392	0.2084501584
393	0.2084396574
394	0.2084351478
395	0.2084222879
396	0.2084163174
397	0.2084092827
398	0.2083963178
399	0.2083916973
400	0.2083874705
401	0.2083858724
402	0.2083741451
403	0.2083620468
404	0.2083499033
405	0.2083405029
406	0.2083270913
407	0.2083166305
408	0.208307394
409	0.2082990917
410	0.2082916303
411	0.2082817504
412	0.2082654008
413	0.2082597038
414	0.2082556859
415	0.208240814
416	0.2082312297
417	0.2082169162
418	0.2082067097
419	0.2082023301
420	0.2081899375
421	0.2081828513
422	0.2081726609
423	0.2081613997
424	0.208150442
425	0.208138671
426	0.2081269023
427	0.2081165996
428	0.2081068175
429	0.208095678
430	0.2080862734
431	0.2080717629
432	0.2080582808
433	0.2080509829
434	0.2080398573
435	0.2080311024
436	0.2080222862
437	0.2080165463
438	0.2080094257
439	0.208000996
440	0.2079875036
441	0.2079783915
442	0.2079718998
