iter	Passed	Remaining
0	114	195246
1	171	145466
2	204	115844
3	249	105925
4	366	124151
5	450	127074
6	497	120356
7	568	120189
8	627	117824
9	669	113115
10	715	109910
11	764	107490
12	811	105364
13	859	103484
14	910	102246
15	962	101333
16	1016	100668
17	1064	99490
18	1165	103136
19	1247	104787
20	1288	103016
21	1343	102506
22	1389	101325
23	1436	100305
24	1483	99385
25	1535	98867
26	1588	98410
27	1651	98611
28	1698	97864
29	1746	97222
30	1785	96116
31	1822	94991
32	1861	94055
33	1906	93405
34	1944	92524
35	1987	91848
36	2027	91141
37	2063	90243
38	2109	89849
39	2154	89396
40	2189	88614
41	2231	88071
42	2285	88077
43	2329	87692
44	2382	87626
45	2431	87417
46	2480	87242
47	2536	87306
48	2582	87030
49	2628	86742
50	2672	86420
51	2716	86100
52	2757	85690
53	2800	85353
54	2846	85121
55	2886	84730
56	2924	84285
57	2984	84493
58	3029	84264
59	3066	83825
60	3104	83402
61	3140	82975
62	3177	82567
63	3226	82487
64	3277	82442
65	3321	82236
66	3369	82121
67	3415	81960
68	3476	82170
69	3531	82234
70	3580	82144
71	3627	82012
72	3675	81912
73	3712	81566
74	3753	81330
75	3790	80998
76	3829	80712
77	3878	80642
78	3922	80488
79	3961	80229
80	4016	80271
81	4053	79984
82	4094	79778
83	4136	79582
84	4176	79356
85	4221	79222
86	4268	79136
87	4318	79103
88	4369	79088
89	4416	79007
90	4458	78826
91	4497	78612
92	4537	78409
93	4575	78173
94	4612	77926
95	4652	77742
96	4691	77533
97	4757	77772
98	4797	77581
99	4848	77571
100	4884	77335
101	4926	77185
102	4963	76952
103	4998	76707
104	5035	76497
105	5071	76268
106	5112	76115
107	5151	75937
108	5190	75761
109	5228	75573
110	5266	75398
111	5305	75223
112	5346	75092
113	5389	74981
114	5428	74817
115	5463	74605
116	5501	74434
117	5543	74318
118	5579	74122
119	5618	73979
120	5659	73849
121	5698	73709
122	5737	73560
123	5774	73396
124	5815	73274
125	5856	73163
126	5908	73178
127	5959	73188
128	6007	73161
129	6042	72970
130	6080	72821
131	6118	72681
132	6160	72577
133	6199	72452
134	6234	72275
135	6274	72160
136	6314	72036
137	6352	71899
138	6390	71763
139	6430	71654
140	6473	71572
141	6519	71529
142	6560	71433
143	6597	71291
144	6637	71182
145	6677	71071
146	6713	70922
147	6751	70794
148	6786	70638
149	6825	70534
150	6866	70433
151	6905	70326
152	6942	70195
153	6981	70082
154	7020	69982
155	7057	69852
156	7099	69775
157	7138	69668
158	7176	69554
159	7215	69445
160	7255	69354
161	7292	69232
162	7327	69092
163	7367	69004
164	7406	68905
165	7446	68816
166	7485	68718
167	7530	68673
168	7570	68581
169	7608	68476
170	7644	68348
171	7687	68296
172	7737	68295
173	7773	68174
174	7814	68098
175	7853	68001
176	7897	67952
177	7934	67847
178	7971	67735
179	8010	67645
180	8048	67541
181	8089	67467
182	8122	67334
183	8165	67274
184	8203	67183
185	8244	67108
186	8279	66989
187	8318	66899
188	8357	66814
189	8395	66722
190	8432	66620
191	8472	66544
192	8513	66479
193	8549	66370
194	8584	66251
195	8620	66149
196	8659	66068
197	8695	65963
198	8733	65872
199	8768	65765
200	8808	65690
201	8846	65605
202	8886	65533
203	8925	65452
204	8961	65354
205	9002	65287
206	9038	65193
207	9074	65090
208	9110	64995
209	9150	64921
